document,lead_author,author,editor,translator,reviewer,review_manager,contributor,contributor_role,contributor_literal
http://rs.tdwg.org/itfbgpr/doc/specification/,,http://viaf.org/viaf/112328349,,,,,,author,Peter Wyse Jackson
http://rs.tdwg.org/itfbgpr/doc/specification/,,https://orcid.org/0000-0002-4726-7373,,,,,,author,Simon Thornton Wood
http://rs.tdwg.org/itfbgpr/doc/specification/,,http://viaf.org/viaf/69104243,,,,,,author,Kerry Walter
http://rs.tdwg.org/frw/doc/book/,,http://viaf.org/viaf/19771885,,,,,,author,Armen Leonovich Takhtajan
http://rs.tdwg.org/frw/doc/book/,,,,http://viaf.org/viaf/91310738,,,,translator,Theodore J. Crovello
http://rs.tdwg.org/frw/doc/book/,,,http://viaf.org/viaf/61620062,,,,,editor,Arthur Cronquist
http://rs.tdwg.org/bph/doc/book/,,http://viaf.org/viaf/41889168,,,,,,author,Gavin D. R. Bridson
http://rs.tdwg.org/tl/doc/v1/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/v2/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/v3/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/v4/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/v5/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/v6/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
