document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,term_localName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CommissionedBy-2021-06-27,CommissionedBy-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CommissionedBy,Company or organisation who commissioned the borehole or well.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CommissionedBy
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Certainty-2021-06-27,Certainty-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Certainty,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Certainty
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Person-2021-06-27,Geologists-Person-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Person,Person type from the abcd schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Person
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AlterationDegree-2021-06-27,AlterationDegree-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AlterationDegree,Free text describing the degree of alteration or metamorphic phase that has affected a rock. [This element may need to be split into hydrothermal mineralogical change and metamorphic phases],,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AlterationDegree
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasurementOrFactReference-2021-06-27,CrystalMeasurement-MeasurementOrFactReference-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement MeasurementOrFactReference,Reference (publication) where this measurement was taken from.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-MeasurementOrFactReference
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-UpperValue-2021-06-27,CrystalMeasurement-UpperValue-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement UpperValue,Upper value where there is a range.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-UpperValue
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Bioerosion-2021-06-27,Bioerosion-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Bioerosion,"Free text description of damage due to biological action, such as, boring worms and sponges.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Bioerosion
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-DayNumberBegin-2021-06-27,AnalysisDateTime-DayNumberBegin-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime DayNumberBegin,Julian day number in the year for the exact date or for the beginning day of a period,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-DayNumberBegin
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasurementDateTime-2021-06-27,CrystalMeasurement-MeasurementDateTime-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement MeasurementDateTime,Date and/or Time the measurement was taken.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-MeasurementDateTime
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-UnitOfMeasurement-2021-06-27,CrystalMeasurement-UnitOfMeasurement-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement UnitOfMeasurement,Unit of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-UnitOfMeasurement
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/DistanceFromBaseline-2021-06-27,DistanceFromBaseline-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,DistanceFromBaseline,Number representing distance measured.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DistanceFromBaseline
