document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type,tdwgutility_organizedInClass,term_localName
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m070-2020-10-13,m070-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,CR3 raw image,m003,m,,image/x-canon-cr3,unofficial media subtype for Canon Raw 3 image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept,m,m070
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m071-2020-10-13,m071-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,ARW raw image,m003,m,,image/x-sony-arw,unofficial media subtype for Sony raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept,m,m071
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m072-2020-10-13,m072-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,RW2 raw image,m003,m,,image/x-panasonic-rw2,unofficial media subtype for Panasonic raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept,m,m072
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e001-2020-10-13,e001-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,plain text,,e,m019,txt,file extension for palin text,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e001
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e002-2020-10-13,e002-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Word (pre-2003) document,,e,m020,doc,file extension for Microsoft Word (2003 and before) documents,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e002
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e003-2020-10-13,e003-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Word (post-2007) document,,e,m021,docx,file extension for Microsoft Word (2007 and after) documents,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e003
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e004-2020-10-13,e004-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,PNG,,e,m007,png,file extension for portable network graphics images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e004
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e005-2020-10-13,e005-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,JPEG,,e,m008,jpg,file extension for JPEG images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e005
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e006-2020-10-13,e006-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,PDF,,e,m018,pdf,file extension for PDF documents,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e006
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e007-2020-10-13,e007-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,TIFF,,e,m011,tif,file extension for TIFF images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e007
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e008-2020-10-13,e008-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Digital Negative,,e,m022,dng,file extension for Digital Negative images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e008
