document_modified,term,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,rdf_type
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass,AgeClass,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Age Class,"The age class, reproductive stage, life stage of the biological individual (e.g., juvenile, adult, eft, nymph, etc.).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric,CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Catalog Number Numeric,"The CatalogNumber as a numeric value, if applicable. Allows searching on numeric ranges of CatalogNumbers.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText,CatalogNumberText,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber,,,Catalog Number Text,An alphanumeric value which identifies an individual cataloged item within the collection. It is recommended that this value provides a key by which the individual cataloged item can be identified.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters,CoordinateUncertaintyInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision,,,Coordinate Uncertainty In Meters,"The upper limit of the distance (in meters) from the given latitude and longitude describing a circle within which the whole of the described locality must lie. Use NULL where the uncertainty is unknown, cannot be estimated, or is not applicable.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude,DecimalLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Latitude,,,Decimal Latitude,"The latitude of the location from which the cataloged item was collected, expressed in decimal degrees.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude,DecimalLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Longitude,,,Decimal Longitude,"The longitude of the location from which the cataloged item was collected, expressed in decimal degrees.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNotes,FieldNotes,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Field Notes,"A reference to, or flag marking the existence of notes taken in the field for the cataloged item.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/GenBankNum,GenBankNum,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Gen Bank Num,GenBank Accession number.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/GeorefMethod,GeorefMethod,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Georef Method,A reference to the methods used for determining the coordinates and uncertainties.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherGeography,HigherGeography,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Higher Geography,"The combination of all geographic elements less specific than locality. ""Like"" query operations on this element will search for a substring in any of the higher geography attributes.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherTaxon,HigherTaxon,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Higher Taxon,"The combination of names of taxonomic ranks less specific than Genus. ""Like"" query operations on this element will search for a substring in any of the higher taxon attributes.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/HorizontalDatum,HorizontalDatum,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Horizontal Datum,The horizontal geodetic datum to which the DecimalLatitude and DecimalLongitude refer.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentificationModifier,IdentificationModifier,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Identification Modifier,"Additional information documenting the taxonomic determination of the cataloged item (e.g., ""cf."", ""aff."", ""subspecies in question"", etc.).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
