rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/month,month,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,MonthCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected,EarliestDateCollected,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,MonthCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/LatestDateCollected,LatestDateCollected,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,MonthCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/DateIdentified,DateIdentified,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/,MonthIdentified
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/Remarks,Remarks,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/Notes,http://digir.net/schema/conceptual/darwin/2003/1.0/,Notes
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Order,Order,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Order,http://digir.net/schema/conceptual/darwin/2003/1.0/,Order
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinateSystem,VerbatimCoordinateSystem,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/OriginalCoordinateSystem,http://digir.net/schema/conceptual/darwin/2003/1.0/,OriginalCoordinateSystem
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/OtherCatalogNumbers,OtherCatalogNumbers,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers,http://digir.net/schema/conceptual/darwin/2003/1.0/,OtherCatalogNumbers
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Phylum,Phylum,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Phylum,http://digir.net/schema/conceptual/darwin/2003/1.0/,Phylum
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/Preparations,Preparations,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/Preparations,http://digir.net/schema/conceptual/darwin/2003/1.0/,Preparations
