"identifier","context","text"
"identifierValue:notes","Notes for Identifier http://rs.tdwg.org/dwc/terms/identifierValue",""
"basisOfScheme:label","Label for Basis Of Scheme http://rs.tdwg.org/dwc/terms/basisOfScheme",""
"basisOfScheme:definition","Definition for Basis Of Scheme http://rs.tdwg.org/dwc/terms/basisOfScheme","Un resumen de la base o propósito del LatimerCoreScheme."
"basisOfScheme:notes","Notes for Basis Of Scheme http://rs.tdwg.org/dwc/terms/basisOfScheme","Esta propiedad pretende resumir la razón de agrupar una serie de ObjectGroups dentro del LatimerCoreScheme, y el propósito para el que se pretende utilizar los datos. Esto también puede reflejarse en los términos y métricas definidos mediante las clases SchemeTerm y SchemeMeasurementOrFact respectivamente. Utilizando este enfoque, se pueden construir perfiles estándar y reutilizables dentro de la norma Latimer Core más amplia para casos de uso comunes de descripciones de colecciones."
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasObjectGroup:label","Label for Has Object Group http://rs.tdwg.org/dwc/terms/hasObjectGroup",""
"hasObjectGroup:definition","Definition for Has Object Group http://rs.tdwg.org/dwc/terms/hasObjectGroup",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasSchemeMeasurementOrFact:label","Label for Has Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasSchemeMeasurementOrFact",""
"hasSchemeMeasurementOrFact:definition","Definition for Has Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasSchemeMeasurementOrFact",""
"hasSchemeTerm:label","Label for Has Scheme Term http://rs.tdwg.org/dwc/terms/hasSchemeTerm",""
"hasSchemeTerm:definition","Definition for Has Scheme Term http://rs.tdwg.org/dwc/terms/hasSchemeTerm",""
"isDistinctObjects:label","Label for Is Distinct Objects http://rs.tdwg.org/dwc/terms/isDistinctObjects",""
"isDistinctObjects:definition","Definition for Is Distinct Objects http://rs.tdwg.org/dwc/terms/isDistinctObjects","Indicador para designar si un objeto físico puede ser descrito por más de un ObjectGroup dentro del LatimerCoreScheme."
"isDistinctObjects:notes","Notes for Is Distinct Objects http://rs.tdwg.org/dwc/terms/isDistinctObjects","Si isDistinctObjects se establece en 'true', ningún objeto de la colección debe estar cubierto por más de un grupo de objetos dentro de LatimerCoreScheme. Esto es importante para agregar e informar sobre métricas como el recuento de objetos, ya que evita que cualquier objeto físico se cuente más de una vez."
"schemeName:label","Label for Scheme Name http://rs.tdwg.org/dwc/terms/schemeName",""
"schemeName:definition","Definition for Scheme Name http://rs.tdwg.org/dwc/terms/schemeName",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"measurementDerivation:label","Label for Measurement Derivation http://rs.tdwg.org/dwc/terms/measurementDerivation",""
"measurementDerivation:definition","Definition for Measurement Derivation http://rs.tdwg.org/dwc/terms/measurementDerivation",""
"measurementDerivation:notes","Notes for Measurement Derivation http://rs.tdwg.org/dwc/terms/measurementDerivation",""
"measurementFactText:label","Label for Fact or Narrative Text http://rs.tdwg.org/dwc/terms/measurementFactText",""
"measurementFactText:definition","Definition for Fact or Narrative Text http://rs.tdwg.org/dwc/terms/measurementFactText",""
"measurementFactText:notes","Notes for Fact or Narrative Text http://rs.tdwg.org/dwc/terms/measurementFactText",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasParentObjectClassification:label","Label for Has Parent Object Classification http://rs.tdwg.org/dwc/terms/hasParentObjectClassification",""
"hasParentObjectClassification:definition","Definition for Has Parent Object Classification http://rs.tdwg.org/dwc/terms/hasParentObjectClassification",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
