"identifier","context","text"
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","A pour Mesure ou Fait"
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","Cette propriété fait référence à une ou plusieurs instances associées de la classe MeasurementOrFact."
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference","A pour Référence"
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference","Cette propriété fait référence à une ou plusieurs instances associées de la classe Reference."
"hasTemporalCoverage:label","Label for Has Temporal Coverage http://rs.tdwg.org/dwc/terms/hasTemporalCoverage","A pour Couverture Temporelle"
"hasTemporalCoverage:definition","Definition for Has Temporal Coverage http://rs.tdwg.org/dwc/terms/hasTemporalCoverage","Cette propriété fait référence à une ou plusieurs instances associées de la classe TemporalCoverage."
"status:label","Label for Status http://rs.tdwg.org/dwc/terms/status","Statut"
"status:definition","Definition for Status http://rs.tdwg.org/dwc/terms/status","Le statut de développement de la collection au cours d'une période donnée."
"status:notes","Notes for Status http://rs.tdwg.org/dwc/terms/status","Les valeurs/vocabulaires d'un statut sont déterminées par le statusType. Dans les exemples, les termes mentionnés sont une liste cumulative de termes associés à plusieurs statusTypes différents."
"statusChangeReason:label","Label for Status Change Reason http://rs.tdwg.org/dwc/terms/statusChangeReason","Raison de Modification du Statut"
"statusChangeReason:definition","Definition for Status Change Reason http://rs.tdwg.org/dwc/terms/statusChangeReason","Une explication de la raison pour laquelle la collection est passée à la valeur indiquée dans la propriété Status."
"statusChangeReason:notes","Notes for Status Change Reason http://rs.tdwg.org/dwc/terms/statusChangeReason","statusChangeReason doit être alignée sur la valeur de statusType."
"statusType:label","Label for Status Type http://rs.tdwg.org/dwc/terms/statusType",""
"statusType:definition","Definition for Status Type http://rs.tdwg.org/dwc/terms/statusType","Une classification de haut niveau des différentes catégories d'états qui peuvent être appliquées à la collection."
"statusType:notes","Notes for Status Type http://rs.tdwg.org/dwc/terms/statusType","statusType forme le niveau supérieur d'une hiérarchie à deux niveaux avec la propriété status. La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé."
"contactDetailCategory:label","Label for Contact Detail Category http://rs.tdwg.org/dwc/terms/contactDetailCategory","Catégorie des Coordonnées de Contact"
"contactDetailCategory:definition","Definition for Contact Detail Category http://rs.tdwg.org/dwc/terms/contactDetailCategory","La méthode de contact à laquelle se rapporte la coordonnée."
"contactDetailCategory:notes","Notes for Contact Detail Category http://rs.tdwg.org/dwc/terms/contactDetailCategory","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé."
"contactDetailFunction:label","Label for Contact Detail Function http://rs.tdwg.org/dwc/terms/contactDetailFunction","Rôle des Coordonnées de Contact"
"contactDetailFunction:definition","Definition for Contact Detail Function http://rs.tdwg.org/dwc/terms/contactDetailFunction","Une brève indication de la nature de la demande ou des demandes qu'il convient d'adresser à la personne de contact."
"contactDetailValue:label","Label for Contact Detail Value http://rs.tdwg.org/dwc/terms/contactDetailValue","Valeur des Coordonnées de Contact"
"contactDetailValue:definition","Definition for Contact Detail Value http://rs.tdwg.org/dwc/terms/contactDetailValue","La valeur des coordonnées du contact, comme le numéro de téléphone ou l'adresse électronique."
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","A pour Identifiant"
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","Cette propriété fait référence à une ou plusieurs instances associées de la classe Identifier."
"biogeographicRealm:label","Label for Biogeographic Realm http://rs.tdwg.org/dwc/terms/biogeographicRealm","Écozone"
"biogeographicRealm:definition","Definition for Biogeographic Realm http://rs.tdwg.org/dwc/terms/biogeographicRealm","La division biogéographique la plus vaste de la surface terrestre et marine de la Terre, basée sur les schémas de répartition des organismes terrestres et marins."
"biogeographicRealm:notes","Notes for Biogeographic Realm http://rs.tdwg.org/dwc/terms/biogeographicRealm","Ce terme peut être couramment utilisé dans une hiérarchie biogéographique au-dessus de marineProvince (marin uniquement), écorégion et écosystème. Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998). "
"biome:label","Label for Biome http://rs.tdwg.org/dwc/terms/biome","Biome"
"biome:definition","Definition for Biome http://rs.tdwg.org/dwc/terms/biome","Unité biogéographique composée d'une communauté biologique qui s'est formée en réponse à l'environnement physique dans lequel elle se trouve et à un climat régional commun."
