identifier,context,text
TemporalCoverage:http~//rs.tdwg.org/dwc/terms/attributes/TemporalCoverage:usage,Usage for Temporal Coverage (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/TemporalCoverage) http://rs.tdwg.org/dwc/terms/TemporalCoverage,"To represent an ongoing period of time, temporalCoverageStartDateTime should be populated and temporalCoverageEndDateTime left blank. To represent a single period in time, temporalCoverageStartDateTime and temporalCoverageEndDateTime should hold the same value."
TemporalCoverage:http~//rs.tdwg.org/dwc/terms/attributes/TemporalCoverage:notes,Notes for Temporal Coverage (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/TemporalCoverage) http://rs.tdwg.org/dwc/terms/TemporalCoverage,"This class can be used to reflect the period of time in which specified activities, events and states occurred. Examples might include the time range of the `Event` in which the objects were collected, the period during a `CollectionStatusHistory` over which the collection was actively growing, or the span of time someone was working in a particular `PersonRole`. If the time period you are trying to describe is better described by a categorical label rather than a date, `GeologicalContext`, `ChronometricAge` or `ObjectGroup.period` may be more suitable. "
addressType:http~//rs.tdwg.org/dwc/terms/attributes/Address:label,Label for Address Type (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/addressType,Address Type
addressType:http~//rs.tdwg.org/dwc/terms/attributes/Address:definition,Definition for Address Type (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/addressType,"A person or organization can have different addresses, for different purposes. For example, a postal address, a loan address, an address for visits and so on. This property is used to specify the kind of address."
hasIdentifier:http~//rs.tdwg.org/dwc/terms/attributes/Address:label,Label for Has Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/hasIdentifier,Has Identifier
hasIdentifier:http~//rs.tdwg.org/dwc/terms/attributes/Address:definition,Definition for Has Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/hasIdentifier,This property refers to one or more related instances of the Identifier class.
hasIdentifier:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:label,Label for Has Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/hasIdentifier,Has Identifier
hasIdentifier:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:definition,Definition for Has Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/hasIdentifier,This property refers to one or more related instances of the Identifier class.
hasMeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:label,Label for Has Measurement Or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact,Has Measurement Or Fact
hasMeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:definition,Definition for Has Measurement Or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact,This property refers to one or more related instances of the MeasurementOrFact class.
hasReference:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:label,Label for Has Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/hasReference,Has Reference
hasReference:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:definition,Definition for Has Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/hasReference,This property refers to one or more related instances of the Reference class.
