"identifier","context","text"
"radius:rdfs_comment","Comment for Radius http://rs.tdwg.org/dwc/terms/radius",""
"radius:dcterms_description","Description for Radius http://rs.tdwg.org/dwc/terms/radius",""
"radius:skos_scopeNote","Usage for Radius http://rs.tdwg.org/dwc/terms/radius",""
"startTimestamp:label","Label for Start Timestamp http://rs.tdwg.org/dwc/terms/startTimestamp",""
"startTimestamp:rdfs_comment","Comment for Start Timestamp http://rs.tdwg.org/dwc/terms/startTimestamp",""
"startTimestamp:skos_scopeNote","Usage for Start Timestamp http://rs.tdwg.org/dwc/terms/startTimestamp",""
"endTimestamp:label","Label for End Timestamp http://rs.tdwg.org/dwc/terms/endTimestamp",""
"endTimestamp:rdfs_comment","Comment for End Timestamp http://rs.tdwg.org/dwc/terms/endTimestamp",""
"endTimestamp:skos_scopeNote","Usage for End Timestamp http://rs.tdwg.org/dwc/terms/endTimestamp",""
"mediaDuration:label","Label for Media Duration http://rs.tdwg.org/dwc/terms/mediaDuration",""
"mediaDuration:rdfs_comment","Comment for Media Duration http://rs.tdwg.org/dwc/terms/mediaDuration",""
"mediaDuration:dcterms_description","Description for Media Duration http://rs.tdwg.org/dwc/terms/mediaDuration",""
"mediaSpeed:label","Label for Media Speed http://rs.tdwg.org/dwc/terms/mediaSpeed",""
"mediaSpeed:rdfs_comment","Comment for Media Speed http://rs.tdwg.org/dwc/terms/mediaSpeed",""
"mediaSpeed:dcterms_description","Description for Media Speed http://rs.tdwg.org/dwc/terms/mediaSpeed",""
"mediaSpeed:skos_scopeNote","Usage for Media Speed http://rs.tdwg.org/dwc/terms/mediaSpeed",""
"frameRate:label","Label for Frame Rate http://rs.tdwg.org/dwc/terms/frameRate",""
"frameRate:rdfs_comment","Comment for Frame Rate http://rs.tdwg.org/dwc/terms/frameRate",""
"frameRate:dcterms_description","Description for Frame Rate http://rs.tdwg.org/dwc/terms/frameRate",""
"frameRate:skos_scopeNote","Usage for Frame Rate http://rs.tdwg.org/dwc/terms/frameRate",""
"startTime:label","Label for Start Time in Seconds http://rs.tdwg.org/dwc/terms/startTime",""
"startTime:rdfs_comment","Comment for Start Time in Seconds http://rs.tdwg.org/dwc/terms/startTime",""
"startTime:skos_scopeNote","Usage for Start Time in Seconds http://rs.tdwg.org/dwc/terms/startTime",""
"endTime:label","Label for End Time in Seconds http://rs.tdwg.org/dwc/terms/endTime",""
"endTime:rdfs_comment","Comment for End Time in Seconds http://rs.tdwg.org/dwc/terms/endTime",""
"endTime:skos_scopeNote","Usage for End Time in Seconds http://rs.tdwg.org/dwc/terms/endTime",""
"subjectOrientationLiteral:label","Label for Subject Orientation (literal) http://rs.tdwg.org/dwc/terms/subjectOrientationLiteral",""
"subjectOrientationLiteral:rdfs_comment","Comment for Subject Orientation (literal) http://rs.tdwg.org/dwc/terms/subjectOrientationLiteral",""
"subjectOrientationLiteral:skos_scopeNote","Usage for Subject Orientation (literal) http://rs.tdwg.org/dwc/terms/subjectOrientationLiteral",""
"subjectPartLiteral:label","Label for Subject Part (literal) http://rs.tdwg.org/dwc/terms/subjectPartLiteral",""
